model,persona,category,construct,selection_rate,opportunities
google/gemini-2.5-flash-lite,P0,care_vs_analytical,analytical,0.5,2
google/gemini-2.5-flash-lite,P0,care_vs_analytical,care,0.5,2
google/gemini-2.5-flash-lite,P1,care_vs_analytical,analytical,1.0,2
google/gemini-2.5-flash-lite,P1,care_vs_analytical,care,0.0,2
google/gemini-2.5-flash-lite,P2,care_vs_analytical,analytical,0.8333333333333333,2
google/gemini-2.5-flash-lite,P2,care_vs_analytical,care,0.16666666666666666,2
google/gemini-2.5-flash-lite,P3,care_vs_analytical,analytical,0.3333333333333333,2
google/gemini-2.5-flash-lite,P3,care_vs_analytical,care,0.6666666666666666,2
google/gemini-2.5-flash-lite,P4,care_vs_analytical,analytical,0.3333333333333333,2
google/gemini-2.5-flash-lite,P4,care_vs_analytical,care,0.6666666666666666,2
google/gemini-2.5-flash-lite,P5,care_vs_analytical,analytical,0.3333333333333333,2
google/gemini-2.5-flash-lite,P5,care_vs_analytical,care,0.6666666666666666,2
qwen/qwen3-14b,P0,care_vs_analytical,analytical,0.5,2
qwen/qwen3-14b,P0,care_vs_analytical,care,0.5,2
qwen/qwen3-14b,P1,care_vs_analytical,analytical,1.0,2
qwen/qwen3-14b,P1,care_vs_analytical,care,0.0,2
qwen/qwen3-14b,P2,care_vs_analytical,analytical,0.3333333333333333,2
qwen/qwen3-14b,P2,care_vs_analytical,care,0.6666666666666666,2
qwen/qwen3-14b,P3,care_vs_analytical,analytical,0.5,2
qwen/qwen3-14b,P3,care_vs_analytical,care,0.5,2
qwen/qwen3-14b,P4,care_vs_analytical,analytical,0.5,2
qwen/qwen3-14b,P4,care_vs_analytical,care,0.5,2
qwen/qwen3-14b,P5,care_vs_analytical,analytical,0.8333333333333333,2
qwen/qwen3-14b,P5,care_vs_analytical,care,0.16666666666666666,2
