model,question_id,persona,frames_available,frame_consistency,all_frames_agree
google/gemini-2.5-flash-lite,PRPP01,P0,3,1.0,True
google/gemini-2.5-flash-lite,PRPP01,P1,3,1.0,True
google/gemini-2.5-flash-lite,PRPP01,P2,3,0.6666666666666666,False
google/gemini-2.5-flash-lite,PRPP01,P3,3,0.6666666666666666,False
google/gemini-2.5-flash-lite,PRPP01,P4,3,1.0,True
google/gemini-2.5-flash-lite,PRPP01,P5,3,0.6666666666666666,False
google/gemini-2.5-flash-lite,PRPP02,P0,3,1.0,True
google/gemini-2.5-flash-lite,PRPP02,P1,3,1.0,True
google/gemini-2.5-flash-lite,PRPP02,P2,3,1.0,True
google/gemini-2.5-flash-lite,PRPP02,P3,3,1.0,True
google/gemini-2.5-flash-lite,PRPP02,P4,3,0.6666666666666666,False
google/gemini-2.5-flash-lite,PRPP02,P5,3,0.6666666666666666,False
qwen/qwen3-14b,PRPP01,P0,3,1.0,True
qwen/qwen3-14b,PRPP01,P1,3,1.0,True
qwen/qwen3-14b,PRPP01,P2,3,1.0,True
qwen/qwen3-14b,PRPP01,P3,3,1.0,True
qwen/qwen3-14b,PRPP01,P4,3,1.0,True
qwen/qwen3-14b,PRPP01,P5,3,1.0,True
qwen/qwen3-14b,PRPP02,P0,3,1.0,True
qwen/qwen3-14b,PRPP02,P1,3,1.0,True
qwen/qwen3-14b,PRPP02,P2,3,0.6666666666666666,False
qwen/qwen3-14b,PRPP02,P3,3,1.0,True
qwen/qwen3-14b,PRPP02,P4,3,1.0,True
qwen/qwen3-14b,PRPP02,P5,3,0.6666666666666666,False
