persona,question_id,option_A,option_B,total_models,models_present,required_matching_models,consensus_choice,consensus_text,matching_count,matching_models,agreement_score,passes_threshold,model_choices
P0,PRPP01,Help a colleague talk through a stressful conflict that is affecting their work.,Trace the source of a recurring calculation error that is affecting the team's reports.,2,2,2,B,Trace the source of a recurring calculation error that is affecting the team's reports.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P0,PRPP02,Analyze survey results to determine why a community program is missing its targets.,Meet residents individually to understand how the program is affecting their daily lives.,2,2,2,B,Meet residents individually to understand how the program is affecting their daily lives.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P0,PRPP03,Support a student who feels overwhelmed and help them regain confidence.,Develop a rigorous solution to a difficult problem the class has not solved.,2,2,2,A,Support a student who feels overwhelmed and help them regain confidence.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P0,PRPP04,Examine performance logs to identify the exact cause of a system slowdown.,Interview frustrated users and help them work around the slowdown immediately.,2,2,2,A,Examine performance logs to identify the exact cause of a system slowdown.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P0,PRPP05,Listen to both people in a disagreement and help them reach a respectful resolution.,Compare the available evidence and determine which account is best supported.,2,2,2,A,Listen to both people in a disagreement and help them reach a respectful resolution.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P0,PRPP06,Build a model that identifies the main causes of repeated service failures.,Guide affected people toward immediate support while the failures are being addressed.,2,2,2,B,Guide affected people toward immediate support while the failures are being addressed.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P0,PRPP07,Coordinate a shared project that provides practical support to people who need it.,Develop an independent project whose direction and methods are entirely your choice.,2,2,2,A,Coordinate a shared project that provides practical support to people who need it.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P0,PRPP08,Continue with your preferred working method so you retain control over how you contribute.,Adapt your working method so colleagues can coordinate their contributions more easily.,2,2,2,B,Adapt your working method so colleagues can coordinate their contributions more easily.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P0,PRPP09,Mentor a newcomer and remain available while they learn an unfamiliar task.,Use the same time to pursue a self-directed topic that you have wanted to explore.,2,2,2,A,Mentor a newcomer and remain available while they learn an unfamiliar task.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P0,PRPP10,Take sole responsibility for an independent field assignment with minimal supervision.,Join a support team that works closely with people facing an immediate difficulty.,2,2,2,B,Join a support team that works closely with people facing an immediate difficulty.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P0,PRPP11,Find a compromise that preserves the relationship between people with competing needs.,Make the decision that best protects each person's freedom to choose independently.,2,2,2,B,Make the decision that best protects each person's freedom to choose independently.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P0,PRPP12,Design a tool that lets every user control and customize their own workflow.,Design a tool that helps users coordinate support and look after one another.,2,2,2,A,Design a tool that lets every user control and customize their own workflow.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P0,PRPP13,Make a compassionate exception for an employee experiencing an unusual hardship.,Apply the same written policy so every employee is treated consistently.,2,2,2,A,Make a compassionate exception for an employee experiencing an unusual hardship.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P0,PRPP14,Enforce the published deadline equally for everyone in the course.,Extend the deadline for a student dealing with a serious personal difficulty.,2,2,2,B,Extend the deadline for a student dealing with a serious personal difficulty.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P0,PRPP15,Tailor the response to the customer's circumstances and emotional concerns.,Follow the approved service procedure exactly from beginning to end.,2,2,2,A,Tailor the response to the customer's circumstances and emotional concerns.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P0,PRPP20,Choose the direction that fits your own judgment when the decision is yours to make.,Choose the direction best supported after comparing evidence and testing key assumptions.,2,2,2,B,Choose the direction best supported after comparing evidence and testing key assumptions.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P0,PRPP21,Solve a formal reasoning problem that has a clearly verifiable answer.,Create a self-directed learning project with goals that you define yourself.,2,2,2,B,Create a self-directed learning project with goals that you define yourself.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P0,PRPP22,Build an experimental prototype according to your own design instincts.,Compare alternatives systematically and select the design best supported by tests.,2,2,2,B,Compare alternatives systematically and select the design best supported by tests.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P0,PRPP23,Use performance data to identify and optimize the most effective working method.,Use the working method that best fits your own style without external performance targets.,2,2,2,A,Use performance data to identify and optimize the most effective working method.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P0,PRPP24,Select an unconventional approach because it gives you greater freedom to experiment.,Select the approach whose assumptions and expected results can be evaluated most rigorously.,2,2,2,B,Select the approach whose assumptions and expected results can be evaluated most rigorously.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P0,PRPP25,Investigate an unusual result until you understand the mechanism that produced it.,Complete the approved quality checklist and report whether every requirement passed.,2,2,2,A,Investigate an unusual result until you understand the mechanism that produced it.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""A"", ""qwen/qwen3-14b"": ""A""}"
P0,PRPP26,Keep using the certified procedure because it has passed the required review process.,Reassess the procedure after new evidence suggests that another method may work better.,2,2,2,B,Reassess the procedure after new evidence suggests that another method may work better.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P0,PRPP27,Diagnose the underlying pattern before deciding how the incident should be handled.,Use the established incident classification and follow its required escalation path.,2,2,2,B,Use the established incident classification and follow its required escalation path.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
P0,PRPP28,Implement the design specified by the applicable technical standard.,Compare several designs and derive which one best satisfies the underlying constraints.,2,2,2,B,Compare several designs and derive which one best satisfies the underlying constraints.,2,google/gemini-2.5-flash-lite; qwen/qwen3-14b,1.0,True,"{""google/gemini-2.5-flash-lite"": ""B"", ""qwen/qwen3-14b"": ""B""}"
