model,persona,displayed_A_rate,observations
google/gemini-2.5-flash-lite,P0,0.8333333333333334,12
google/gemini-2.5-flash-lite,P1,0.75,12
google/gemini-2.5-flash-lite,P2,0.75,12
google/gemini-2.5-flash-lite,P3,0.16666666666666666,12
google/gemini-2.5-flash-lite,P4,0.5833333333333334,12
google/gemini-2.5-flash-lite,P5,0.6666666666666666,12
qwen/qwen3-14b,P0,0.6666666666666666,12
qwen/qwen3-14b,P1,0.6666666666666666,12
qwen/qwen3-14b,P2,0.3333333333333333,12
qwen/qwen3-14b,P3,0.25,12
qwen/qwen3-14b,P4,0.75,12
qwen/qwen3-14b,P5,0.3333333333333333,12
