model,persona,construct,selection_rate,opportunities
google/gemini-2.5-flash-lite,P0,analytical,0.6111111111111112,18
google/gemini-2.5-flash-lite,P0,autonomy,0.3148148148148148,18
google/gemini-2.5-flash-lite,P0,care,0.7407407407407408,18
google/gemini-2.5-flash-lite,P0,rule,0.3333333333333333,18
google/gemini-2.5-flash-lite,P1,analytical,0.925925925925926,18
google/gemini-2.5-flash-lite,P1,autonomy,0.5185185185185186,18
google/gemini-2.5-flash-lite,P1,care,0.0,18
google/gemini-2.5-flash-lite,P1,rule,0.5555555555555556,18
google/gemini-2.5-flash-lite,P2,analytical,0.8148148148148148,18
google/gemini-2.5-flash-lite,P2,autonomy,0.6851851851851851,18
google/gemini-2.5-flash-lite,P2,care,0.2777777777777778,18
google/gemini-2.5-flash-lite,P2,rule,0.2222222222222222,18
google/gemini-2.5-flash-lite,P3,analytical,0.462962962962963,18
google/gemini-2.5-flash-lite,P3,autonomy,0.9629629629629629,18
google/gemini-2.5-flash-lite,P3,care,0.37037037037037035,18
google/gemini-2.5-flash-lite,P3,rule,0.2037037037037037,18
google/gemini-2.5-flash-lite,P4,analytical,0.25925925925925924,18
google/gemini-2.5-flash-lite,P4,autonomy,0.7777777777777778,18
google/gemini-2.5-flash-lite,P4,care,0.35185185185185186,18
google/gemini-2.5-flash-lite,P4,rule,0.6111111111111112,18
google/gemini-2.5-flash-lite,P5,analytical,0.574074074074074,18
google/gemini-2.5-flash-lite,P5,autonomy,0.7962962962962963,18
google/gemini-2.5-flash-lite,P5,care,0.2222222222222222,18
google/gemini-2.5-flash-lite,P5,rule,0.4074074074074074,18
qwen/qwen3-14b,P0,analytical,0.6481481481481481,18
qwen/qwen3-14b,P0,autonomy,0.25925925925925924,18
qwen/qwen3-14b,P0,care,0.6481481481481481,18
qwen/qwen3-14b,P0,rule,0.4444444444444444,18
qwen/qwen3-14b,P1,analytical,0.9074074074074073,18
qwen/qwen3-14b,P1,autonomy,0.2777777777777778,18
qwen/qwen3-14b,P1,care,0.1111111111111111,18
qwen/qwen3-14b,P1,rule,0.7037037037037037,18
qwen/qwen3-14b,P2,analytical,0.6111111111111112,18
qwen/qwen3-14b,P2,autonomy,0.574074074074074,18
qwen/qwen3-14b,P2,care,0.6851851851851852,18
qwen/qwen3-14b,P2,rule,0.12962962962962962,18
qwen/qwen3-14b,P3,analytical,0.5185185185185185,18
qwen/qwen3-14b,P3,autonomy,0.8148148148148148,18
qwen/qwen3-14b,P3,care,0.4074074074074074,18
qwen/qwen3-14b,P3,rule,0.25925925925925924,18
qwen/qwen3-14b,P4,analytical,0.2777777777777778,18
qwen/qwen3-14b,P4,autonomy,0.7037037037037037,18
qwen/qwen3-14b,P4,care,0.4259259259259259,18
qwen/qwen3-14b,P4,rule,0.5925925925925926,18
qwen/qwen3-14b,P5,analytical,0.6111111111111112,18
qwen/qwen3-14b,P5,autonomy,0.9444444444444444,18
qwen/qwen3-14b,P5,care,0.1111111111111111,18
qwen/qwen3-14b,P5,rule,0.3333333333333333,18
