model,persona,question_id,a_rate,b_rate,included_in_judge_bucket,a_rate_threshold
google/gemini-2.5-flash-lite,P0,PRPP01,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P0,PRPP02,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P1,PRPP01,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P1,PRPP02,1.0,0.0,True,0.5
google/gemini-2.5-flash-lite,P2,PRPP01,0.3333333333333333,0.6666666666666666,False,0.5
google/gemini-2.5-flash-lite,P2,PRPP02,1.0,0.0,True,0.5
google/gemini-2.5-flash-lite,P3,PRPP01,0.3333333333333333,0.6666666666666666,False,0.5
google/gemini-2.5-flash-lite,P3,PRPP02,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P4,PRPP01,1.0,0.0,True,0.5
google/gemini-2.5-flash-lite,P4,PRPP02,0.6666666666666666,0.3333333333333333,True,0.5
google/gemini-2.5-flash-lite,P5,PRPP01,0.6666666666666666,0.3333333333333333,True,0.5
google/gemini-2.5-flash-lite,P5,PRPP02,0.3333333333333333,0.6666666666666666,False,0.5
qwen/qwen3-14b,P0,PRPP01,0.0,1.0,False,0.5
qwen/qwen3-14b,P0,PRPP02,0.0,1.0,False,0.5
qwen/qwen3-14b,P1,PRPP01,0.0,1.0,False,0.5
qwen/qwen3-14b,P1,PRPP02,1.0,0.0,True,0.5
qwen/qwen3-14b,P2,PRPP01,1.0,0.0,True,0.5
qwen/qwen3-14b,P2,PRPP02,0.6666666666666666,0.3333333333333333,True,0.5
qwen/qwen3-14b,P3,PRPP01,0.0,1.0,False,0.5
qwen/qwen3-14b,P3,PRPP02,0.0,1.0,False,0.5
qwen/qwen3-14b,P4,PRPP01,1.0,0.0,True,0.5
qwen/qwen3-14b,P4,PRPP02,1.0,0.0,True,0.5
qwen/qwen3-14b,P5,PRPP01,0.0,1.0,False,0.5
qwen/qwen3-14b,P5,PRPP02,0.6666666666666666,0.3333333333333333,True,0.5
