model,persona,display_order,canonical_A_rate,displayed_A_rate,observations
google/gemini-2.5-flash-lite,P0,AB,0.0,0.0,1
google/gemini-2.5-flash-lite,P0,BA,0.0,1.0,5
google/gemini-2.5-flash-lite,P1,AB,0.5,0.5,4
google/gemini-2.5-flash-lite,P1,BA,0.5,0.5,2
google/gemini-2.5-flash-lite,P2,AB,1.0,1.0,1
google/gemini-2.5-flash-lite,P2,BA,0.6,0.4,5
google/gemini-2.5-flash-lite,P3,AB,0.0,0.0,2
google/gemini-2.5-flash-lite,P3,BA,0.25,0.75,4
google/gemini-2.5-flash-lite,P4,AB,1.0,1.0,5
google/gemini-2.5-flash-lite,P4,BA,0.0,1.0,1
google/gemini-2.5-flash-lite,P5,AB,1.0,1.0,3
google/gemini-2.5-flash-lite,P5,BA,0.0,1.0,3
qwen/qwen3-14b,P0,AB,0.0,0.0,4
qwen/qwen3-14b,P0,BA,0.0,1.0,2
qwen/qwen3-14b,P1,AB,0.6666666666666666,0.6666666666666666,3
qwen/qwen3-14b,P1,BA,0.3333333333333333,0.6666666666666666,3
qwen/qwen3-14b,P2,AB,1.0,1.0,3
qwen/qwen3-14b,P2,BA,0.6666666666666666,0.3333333333333333,3
qwen/qwen3-14b,P3,AB,0.0,0.0,3
qwen/qwen3-14b,P3,BA,0.0,1.0,3
qwen/qwen3-14b,P4,AB,1.0,1.0,2
qwen/qwen3-14b,P4,BA,1.0,0.0,4
qwen/qwen3-14b,P5,AB,0.3333333333333333,0.3333333333333333,3
qwen/qwen3-14b,P5,BA,0.3333333333333333,0.6666666666666666,3
