model,persona,question_id,a_rate,b_rate,included_in_judge_bucket,a_rate_threshold
google/gemini-2.5-flash-lite,P0,PRPP01,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P0,PRPP02,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P0,PRPP03,1.0,0.0,True,0.5
google/gemini-2.5-flash-lite,P0,PRPP04,0.6666666666666666,0.3333333333333333,True,0.5
google/gemini-2.5-flash-lite,P0,PRPP05,0.6666666666666666,0.3333333333333333,True,0.5
google/gemini-2.5-flash-lite,P0,PRPP06,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P0,PRPP07,1.0,0.0,True,0.5
google/gemini-2.5-flash-lite,P0,PRPP08,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P0,PRPP09,1.0,0.0,True,0.5
google/gemini-2.5-flash-lite,P0,PRPP10,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P0,PRPP11,0.3333333333333333,0.6666666666666666,False,0.5
google/gemini-2.5-flash-lite,P0,PRPP12,1.0,0.0,True,0.5
google/gemini-2.5-flash-lite,P0,PRPP13,1.0,0.0,True,0.5
google/gemini-2.5-flash-lite,P0,PRPP14,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P0,PRPP15,1.0,0.0,True,0.5
google/gemini-2.5-flash-lite,P0,PRPP16,0.6666666666666666,0.3333333333333333,True,0.5
google/gemini-2.5-flash-lite,P0,PRPP17,0.6666666666666666,0.3333333333333333,True,0.5
google/gemini-2.5-flash-lite,P0,PRPP18,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P0,PRPP19,0.3333333333333333,0.6666666666666666,False,0.5
google/gemini-2.5-flash-lite,P0,PRPP20,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P0,PRPP21,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P0,PRPP22,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P0,PRPP23,1.0,0.0,True,0.5
google/gemini-2.5-flash-lite,P0,PRPP24,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P0,PRPP25,1.0,0.0,True,0.5
google/gemini-2.5-flash-lite,P0,PRPP26,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P0,PRPP27,0.3333333333333333,0.6666666666666666,False,0.5
google/gemini-2.5-flash-lite,P0,PRPP28,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P0,PRPP29,0.3333333333333333,0.6666666666666666,False,0.5
google/gemini-2.5-flash-lite,P0,PRPP30,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P0,PRPP31,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P0,PRPP32,0.3333333333333333,0.6666666666666666,False,0.5
google/gemini-2.5-flash-lite,P0,PRPP33,0.3333333333333333,0.6666666666666666,False,0.5
google/gemini-2.5-flash-lite,P0,PRPP34,1.0,0.0,True,0.5
google/gemini-2.5-flash-lite,P0,PRPP35,1.0,0.0,True,0.5
google/gemini-2.5-flash-lite,P0,PRPP36,0.6666666666666666,0.3333333333333333,True,0.5
google/gemini-2.5-flash-lite,P0,PRPP37,1.0,0.0,True,0.5
google/gemini-2.5-flash-lite,P0,PRPP38,0.3333333333333333,0.6666666666666666,False,0.5
google/gemini-2.5-flash-lite,P0,PRPP39,0.3333333333333333,0.6666666666666666,False,0.5
google/gemini-2.5-flash-lite,P0,PRPP40,0.3333333333333333,0.6666666666666666,False,0.5
google/gemini-2.5-flash-lite,P1,PRPP01,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P1,PRPP02,1.0,0.0,True,0.5
google/gemini-2.5-flash-lite,P1,PRPP03,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P1,PRPP04,1.0,0.0,True,0.5
google/gemini-2.5-flash-lite,P1,PRPP05,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P1,PRPP06,1.0,0.0,True,0.5
google/gemini-2.5-flash-lite,P1,PRPP07,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P1,PRPP08,1.0,0.0,True,0.5
google/gemini-2.5-flash-lite,P1,PRPP09,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P1,PRPP10,1.0,0.0,True,0.5
google/gemini-2.5-flash-lite,P1,PRPP11,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P1,PRPP12,1.0,0.0,True,0.5
google/gemini-2.5-flash-lite,P1,PRPP13,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P1,PRPP14,1.0,0.0,True,0.5
google/gemini-2.5-flash-lite,P1,PRPP15,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P1,PRPP16,1.0,0.0,True,0.5
google/gemini-2.5-flash-lite,P1,PRPP17,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P1,PRPP18,1.0,0.0,True,0.5
google/gemini-2.5-flash-lite,P1,PRPP19,0.3333333333333333,0.6666666666666666,False,0.5
google/gemini-2.5-flash-lite,P1,PRPP20,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P1,PRPP21,1.0,0.0,True,0.5
google/gemini-2.5-flash-lite,P1,PRPP22,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P1,PRPP23,0.6666666666666666,0.3333333333333333,True,0.5
google/gemini-2.5-flash-lite,P1,PRPP24,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P1,PRPP25,1.0,0.0,True,0.5
google/gemini-2.5-flash-lite,P1,PRPP26,0.3333333333333333,0.6666666666666666,False,0.5
google/gemini-2.5-flash-lite,P1,PRPP27,1.0,0.0,True,0.5
google/gemini-2.5-flash-lite,P1,PRPP28,0.0,1.0,False,0.5
google/gemini-2.5-flash-lite,P1,PRPP29,1.0,0.0,True,0.5
google/gemini-2.5-flash-lite,P1,PRPP30,0.0,1.0,False,0.5
